EEID,Full Name,Job Title,Department,Business Unit,Gender,Age,Hire Date,Annual Salary,Country,City,Exit Date
E01994,Angel Powell,Analyst II,Sales,Research & Development,Male,61,7/11/2008,"$66,521 ",United States,Seattle,
E03549,Mateo Vu,Account Representative,Sales,Speciality Products,Male,30,9/29/2016,"$59,100 ",China,Chongqing,
E03247,Caroline Jenkins,Analyst,Finance,Research & Development,Female,27,5/6/2018,"$49,011 ",United States,Chicago,
E02074,Nora Brown,Enterprise Architect,IT,Manufacturing,Female,32,2/11/2014,"$99,575 ",United States,Austin,
E04152,Adeline Huang,Controls Engineer,Engineering,Manufacturing,Female,34,12/16/2019,"$99,989 ",China,Chengdu,
E01628,Jackson Perry,Vice President,Marketing,Research & Development,Male,27,10/20/2019,"$2,56,420 ",United States,Phoenix,
E04285,Riley Padilla,Technical Architect,IT,Manufacturing,Female,35,5/15/2013,"$78,940 ",United States,Miami,
E01417,Leah Pena,Enterprise Architect,IT,Corporate,Female,57,1/3/1994,"$82,872 ",Brazil,Manaus,
E01754,Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,Male,30,5/29/2017,"$86,317 ",China,Chengdu,7/16/2017
E03749,Kennedy Foster,Manager,Marketing,Speciality Products,Female,53,11/23/2013,"$1,13,135 ",United States,Austin,
E03574,John Moore,Vice President,IT,Speciality Products,Male,52,11/8/2005,"$1,99,808 ",United States,Seattle,
E04600,William Vu,Account Representative,Sales,Speciality Products,Male,37,11/14/2013,"$56,037 ",China,Shanghai,
E00586,Sadie Washington,Sr. Manger,Marketing,Research & Development,Female,29,5/24/2019,"$1,22,350 ",United States,Phoenix,
E03538,Gabriel Holmes,Enterprise Architect,IT,Research & Development,Male,40,11/4/2010,"$92,952 ",United States,Seattle,
E02185,Wyatt Rojas,Computer Systems Manager,IT,Corporate,Male,32,3/20/2013,"$79,921 ",United States,Austin,
E03830,Eva Coleman,Director,IT,Research & Development,Female,37,9/20/2009,"$1,67,199 ",United States,Seattle,
E03720,Dominic Clark,Quality Engineer,Engineering,Research & Development,Male,52,10/17/2012,"$71,476 ",United States,Phoenix,
E03025,Lucy Alexander,Director,Engineering,Manufacturing,Female,45,10/29/2014,"$1,89,420 ",United States,Seattle,
E04917,Everleigh Washington,HRIS Analyst,Human Resources,Research & Development,Female,64,10/20/2001,"$64,057 ",United States,Phoenix,
E00415,Leilani Butler,Analyst II,Marketing,Manufacturing,Female,27,9/21/2021,"$68,728 ",United States,Phoenix,
E02862,Peyton Huang,Sr. Manger,IT,Manufacturing,Female,25,7/2/2021,"$1,25,633 ",China,Beijing,
E04207,John Contreras,Analyst II,Marketing,Manufacturing,Male,35,5/15/2011,"$66,889 ",United States,Columbus,
E02139,Rylee Yu,Director,Accounting,Research & Development,Female,36,9/29/2015,"$1,78,700 ",United States,Seattle,
E01797,Piper Lewis,Field Engineer,Engineering,Research & Development,Female,33,12/22/2018,"$83,990 ",United States,Chicago,
E01839,Stella Alexander,Automation Engineer,Engineering,Corporate,Female,52,12/10/2005,"$1,02,043 ",United States,Chicago,
E01633,Addison Do,Operations Engineer,Engineering,Manufacturing,Female,46,5/30/2001,"$90,678 ",United States,Columbus,
E01848,Zoey Jackson,Business Partner,Human Resources,Manufacturing,Female,46,8/21/2008,"$59,067 ",United States,Miami,
E00716,John Chow,Sr. Manger,Marketing,Research & Development,Male,45,3/11/2021,"$1,35,062 ",China,Chengdu,
E00699,Ava Ayala,Sr. Manger,IT,Corporate,Female,55,8/16/2006,"$1,59,044 ",Brazil,Manaus,
E00502,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,Female,44,1/2/2019,"$74,691 ",Brazil,Manaus,7/8/2020
E04000,Skylar Carrillo,Engineering Manager,Engineering,Corporate,Female,44,12/18/2008,"$92,753 ",United States,Austin,6/24/2021
E02112,Christian Sanders,Vice President,Human Resources,Speciality Products,Male,45,8/7/2013,"$2,36,946 ",United States,Seattle,
E03824,Penelope Coleman,Analyst,Finance,Corporate,Female,36,8/27/2021,"$48,906 ",United States,Miami,
E03906,Piper Richardson,Sr. Analyst,Sales,Corporate,Female,38,1/27/2008,"$80,024 ",United States,Columbus,
E00436,Everly Walker,HRIS Analyst,Human Resources,Speciality Products,Female,41,10/23/2009,"$54,415 ",United States,Seattle,1/22/2014
E04798,Aurora Ali,Manager,Marketing,Research & Development,Female,30,4/24/2016,"$1,20,341 ",United States,Seattle,
E01249,Penelope Guerrero,Vice President,IT,Speciality Products,Female,43,8/4/2009,"$2,08,415 ",United States,Seattle,
E03349,Anna Mehta,Cloud Infrastructure Architect,IT,Speciality Products,Female,32,1/5/2020,"$78,844 ",United States,Seattle,
E02966,William Foster,Field Engineer,Engineering,Manufacturing,Male,58,5/23/2002,"$76,354 ",United States,Phoenix,9/26/2021
E01499,Jade Rojas,Director,Finance,Speciality Products,Female,37,1/28/2019,"$1,65,927 ",United States,Phoenix,
E00105,Isla Espinoza,Manager,Accounting,Speciality Products,Female,38,11/16/2021,"$1,09,812 ",Brazil,Manaus,
E00665,David Chu,Controls Engineer,Engineering,Corporate,Male,55,9/3/1998,"$86,299 ",United States,Seattle,
E00791,Thomas Padilla,Vice President,Marketing,Research & Development,Male,57,7/26/2003,"$2,06,624 ",Brazil,Sao Paulo,
E01540,Miles Salazar,IT Coordinator,IT,Manufacturing,Male,36,12/23/2010,"$53,215 ",Brazil,Sao Paulo,3/27/2014
E04474,Mila Hong,Test Engineer,Engineering,Research & Development,Female,30,5/22/2017,"$86,858 ",China,Chongqing,10/8/2017
E03417,Benjamin Moua,Computer Systems Manager,IT,Manufacturing,Male,40,7/2/2007,"$93,971 ",China,Chongqing,
E00254,Samuel Morales,Analyst II,Finance,Corporate,Male,34,6/27/2015,"$57,008 ",United States,Phoenix,
E02166,John Soto,Sr. Manger,Finance,Manufacturing,Male,60,9/23/2015,"$1,41,899 ",United States,Phoenix,
E00935,Joseph Martin,Analyst II,Marketing,Corporate,Male,41,9/13/2016,"$64,847 ",United States,Miami,
E01525,Jose Ross,Engineering Manager,Engineering,Research & Development,Male,53,4/8/1992,"$1,16,878 ",United States,Miami,
E00386,Parker James,Quality Engineer,Engineering,Speciality Products,Male,45,2/5/2005,"$70,505 ",United States,Austin,
E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,30,5/22/2016,"$1,89,702 ",Brazil,Manaus,12/21/2020
E03383,Lincoln Hall,Director,Accounting,Speciality Products,Male,26,7/28/2020,"$1,80,664 ",United States,Chicago,
E01516,Willow Mai,Business Partner,Human Resources,Manufacturing,Female,45,12/17/2003,"$48,345 ",China,Chengdu,
E01234,Jack Cheng,Director,Human Resources,Manufacturing,Male,42,1/16/2014,"$1,52,214 ",China,Beijing,
E03440,Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,Female,41,4/28/2009,"$69,803 ",Brazil,Manaus,
E00431,Eliza Hernandez,Network Architect,IT,Corporate,Female,48,7/4/2019,"$76,588 ",Brazil,Rio de Janerio,
E01258,Gabriel Brooks,Network Engineer,IT,Manufacturing,Male,29,12/10/2018,"$84,596 ",United States,Miami,
E00440,Jack Huynh,Manager,Marketing,Research & Development,Male,27,9/25/2018,"$1,14,441 ",China,Chongqing,12/22/2019
E00595,Everly Chow,Sr. Manger,Finance,Speciality Products,Female,33,4/21/2018,"$1,40,402 ",China,Beijing,
E00972,Amelia Salazar,Analyst II,Finance,Corporate,Female,26,4/23/2019,"$59,817 ",Brazil,Sao Paulo,
E04562,Xavier Zheng,Account Representative,Sales,Manufacturing,Male,31,7/22/2017,"$55,854 ",United States,Austin,
E02802,Matthew Chau,Sr. Business Partner,Human Resources,Research & Development,Male,53,11/16/2002,"$95,998 ",United States,Seattle,
E01427,Mia Cheng,Sr. Manger,Sales,Manufacturing,Female,34,4/22/2015,"$1,54,941 ",United States,Phoenix,
E04568,Rylee Yu,Vice President,Finance,Speciality Products,Female,54,7/10/2011,"$2,47,022 ",China,Beijing,
E04931,Zoe Romero,Network Architect,IT,Manufacturing,Female,32,10/5/2021,"$88,072 ",Brazil,Sao Paulo,
E00443,Nolan Bui,Computer Systems Manager,IT,Research & Development,Male,28,5/26/2020,"$67,925 ",China,Shanghai,
E03890,Nevaeh Jones,Vice President,Sales,Manufacturing,Female,31,8/20/2020,"$2,19,693 ",United States,Austin,
E01194,Samantha Adams,Test Engineer,Engineering,Research & Development,Female,45,4/22/2013,"$61,773 ",United States,Seattle,
E02875,Madeline Shin,Computer Systems Manager,IT,Speciality Products,Female,48,1/9/2007,"$74,546 ",United States,Seattle,
E04959,Noah King,Development Engineer,Engineering,Speciality Products,Male,56,1/27/2015,"$62,575 ",United States,Miami,
E03816,Leilani Chow,Director,Human Resources,Corporate,Female,27,2/23/2021,"$1,99,041 ",China,Beijing,
E01261,Connor Simmons,Analyst II,Accounting,Speciality Products,Male,55,4/5/2007,"$52,310 ",United States,Miami,10/12/2018
E03612,Grayson Cooper,Sr. Manger,Finance,Speciality Products,Male,64,6/29/2013,"$1,59,571 ",United States,Columbus,
E01388,Ivy Soto,Field Engineer,Engineering,Research & Development,Female,50,10/23/1997,"$91,763 ",United States,Austin,
E03875,Aurora Simmons,Development Engineer,Engineering,Corporate,Female,51,12/22/1995,"$96,475 ",United States,Austin,
E04413,Andrew Thomas,Controls Engineer,Engineering,Manufacturing,Male,36,12/2/2016,"$1,13,781 ",United States,Columbus,
E00691,Ezekiel Desai,Director,Finance,Research & Development,Male,42,1/15/2003,"$1,66,599 ",United States,Seattle,
E03047,Gabriella Gupta,Sr. Account Representative,Sales,Corporate,Female,41,2/15/2005,"$95,372 ",China,Shanghai,
E04903,Skylar Liu,Director,IT,Research & Development,Female,29,8/9/2020,"$1,61,203 ",China,Chengdu,
E04735,Nova Coleman,System Administrator ,IT,Manufacturing,Female,44,12/13/2006,"$74,738 ",United States,Miami,
E02850,Evelyn Dinh,Director,Sales,Research & Development,Female,41,8/10/2018,"$1,71,173 ",United States,Columbus,
E03583,Brooks Marquez,Vice President,Sales,Corporate,Male,61,9/24/2019,"$2,01,464 ",United States,Chicago,
E02017,Connor Joseph,Director,Human Resources,Corporate,Male,50,7/22/1998,"$1,74,895 ",United States,Chicago,
E01642,Mia Lam,Sr. Manger,IT,Manufacturing,Female,49,4/18/2006,"$1,34,486 ",United States,Austin,
E04379,Scarlett Rodriguez,Sr. Analyst,Finance,Manufacturing,Female,60,2/24/2007,"$71,699 ",Brazil,Manaus,
E04131,Cora Rivera,Sr. Analyst,Marketing,Corporate,Female,42,1/2/2021,"$94,430 ",United States,Seattle,
E02872,Liam Jung,Manager,Finance,Corporate,Male,39,1/14/2010,"$1,03,504 ",China,Chengdu,
E02331,Sophia Huynh,Enterprise Architect,IT,Manufacturing,Female,55,8/9/2005,"$92,771 ",United States,Miami,
E00417,Athena Carrillo,Analyst II,Finance,Speciality Products,Female,39,4/6/2006,"$71,531 ",United States,Columbus,
E04267,Greyson Sanders,Cloud Infrastructure Architect,IT,Speciality Products,Male,28,3/6/2019,"$90,304 ",United States,Chicago,
E03061,Vivian Lewis,Manager,Marketing,Manufacturing,Female,65,9/7/2011,"$1,04,903 ",United States,Columbus,
E00013,Elena Vang,Analyst,Finance,Corporate,Female,52,2/19/2019,"$55,859 ",China,Beijing,
E04265,Natalia Diaz,Operations Engineer,Engineering,Corporate,Female,62,10/12/2006,"$79,785 ",United States,Austin,
E04769,Mila Leung,Sr. Analyst,Marketing,Corporate,Female,39,11/5/2007,"$99,017 ",China,Beijing,
E03042,Ava Nelson,Systems Analyst,IT,Manufacturing,Female,63,4/1/1992,"$53,809 ",United States,Phoenix,
E00527,Mateo Chu,Field Engineer,Engineering,Speciality Products,Male,27,4/16/2020,"$71,864 ",China,Chengdu,
E01095,Isla Lai,Vice President,Finance,Corporate,Female,37,12/6/2011,"$2,25,558 ",China,Shanghai,
E03131,Ezekiel Reed,Sr. Manger,IT,Manufacturing,Male,37,2/25/2014,"$1,28,984 ",United States,Miami,5/1/2021
E01713,Nolan Guzman,Field Engineer,Engineering,Speciality Products,Male,46,6/20/1999,"$96,997 ",Brazil,Sao Paulo,
E00128,Everleigh Espinoza,Director,Human Resources,Manufacturing,Female,54,1/22/2018,"$1,76,294 ",United States,Austin,
E03849,Evelyn Jung,Analyst,Sales,Research & Development,Female,30,2/14/2021,"$48,340 ",China,Beijing,
E02464,Sophie Silva,Vice President,Engineering,Corporate,Female,28,7/6/2017,"$2,40,488 ",Brazil,Rio de Janerio,
E00306,Mateo Williams,Enterprise Architect,IT,Manufacturing,Male,40,1/22/2011,"$97,339 ",United States,Austin,
E03737,Kennedy Rahman,Vice President,Human Resources,Manufacturing,Female,49,2/28/2003,"$2,11,291 ",China,Chongqing,
E02783,Levi Mendez,Vice President,Sales,Research & Development,Male,39,8/23/2011,"$2,49,506 ",Brazil,Rio de Janerio,
E02939,Julian Fong,Quality Engineer,Engineering,Speciality Products,Male,61,11/22/2002,"$80,950 ",China,Chongqing,
E02706,Nevaeh Kang,Automation Engineer,Engineering,Research & Development,Female,46,1/10/2021,"$86,538 ",China,Chengdu,
E00170,Hannah Nelson,Sr. Analyst,Marketing,Speciality Products,Female,35,9/7/2019,"$70,992 ",United States,Austin,
E01425,Anthony Rogers,Vice President,Engineering,Corporate,Male,33,6/18/2015,"$2,05,314 ",United States,Columbus,
E00130,Paisley Kang,Vice President,Human Resources,Corporate,Female,61,3/10/2017,"$1,96,951 ",China,Beijing,
E02094,Matthew Gupta,Network Engineer,IT,Speciality Products,Male,45,9/18/2005,"$67,686 ",China,Beijing,
E03567,Silas Chavez,Technical Architect,IT,Research & Development,Male,51,4/15/2008,"$86,431 ",United States,Columbus,
E04682,Colton Thao,Manager,Human Resources,Manufacturing,Male,55,11/16/1995,"$1,25,936 ",China,Chongqing,
E00957,Genesis Perry,Sr. Manger,Sales,Corporate,Female,46,7/18/2013,"$1,49,712 ",United States,Columbus,
E04458,Alexander Bryant,Field Engineer,Engineering,Speciality Products,Male,30,10/2/2021,"$88,758 ",United States,Seattle,
E01499,Elias Zhang,Solutions Architect,IT,Research & Development,Male,54,7/13/2013,"$83,639 ",China,Beijing,
E00521,Lily Carter,Network Architect,IT,Research & Development,Female,54,5/18/1998,"$68,268 ",United States,Phoenix,
E03717,Joseph Ruiz,Field Engineer,Engineering,Manufacturing,Male,45,2/26/2002,"$75,819 ",Brazil,Sao Paulo,
E01533,Avery Bailey,Sr. Analyst,Sales,Speciality Products,Female,49,5/15/1996,"$86,658 ",United States,Phoenix,
E04449,Miles Hsu,Analyst II,Finance,Research & Development,Male,55,3/16/2014,"$74,552 ",China,Chengdu,
E02855,Piper Cheng,Enterprise Architect,IT,Manufacturing,Female,62,3/15/2009,"$82,839 ",United States,Miami,
E00816,Skylar Watson,Network Architect,IT,Speciality Products,Female,28,10/8/2021,"$64,475 ",United States,Phoenix,
E02283,Jaxon Park,Network Architect,IT,Manufacturing,Male,33,7/24/2020,"$69,453 ",China,Chengdu,
E04888,Elijah Henry,Manager,IT,Corporate,Male,32,1/3/2014,"$1,27,148 ",United States,Miami,
E03907,Camila Watson,Vice President,Finance,Speciality Products,Female,32,1/2/2018,"$1,90,253 ",United States,Austin,
E02166,Lucas Thomas,Manager,Accounting,Research & Development,Male,55,4/28/2000,"$1,15,798 ",United States,Miami,
E00431,Skylar Doan,Sr. Business Partner,Human Resources,Research & Development,Female,58,8/21/1994,"$93,102 ",United States,Seattle,12/13/2013
E01501,Hudson Liu,Engineering Manager,Engineering,Speciality Products,Male,34,11/16/2017,"$1,10,054 ",United States,Miami,
E01141,Gianna Williams,Quality Engineer,Engineering,Research & Development,Female,27,1/28/2021,"$95,786 ",United States,Chicago,
E02254,Jaxson Sandoval,Sr. Analyst,Sales,Speciality Products,Male,61,5/3/2017,"$90,855 ",Brazil,Sao Paulo,
E04504,Jameson Alvarado,Enterprise Architect,IT,Manufacturing,Male,47,3/14/1999,"$92,897 ",Brazil,Sao Paulo,
E03394,Joseph Ly,Vice President,Marketing,Speciality Products,Male,40,2/28/2009,"$2,42,919 ",China,Chongqing,
E02942,Daniel Richardson,Director,Engineering,Speciality Products,Male,30,5/20/2018,"$1,84,368 ",United States,Austin,
E04130,Elias Figueroa,Sr. Manger,Finance,Corporate,Male,45,12/24/2021,"$1,44,754 ",United States,Phoenix,
E02848,Emma Brooks,Sr. Account Representative,Sales,Research & Development,Female,30,12/18/2016,"$89,458 ",United States,Austin,
E00085,Isla Wong,Vice President,Accounting,Corporate,Female,56,3/16/2014,"$1,90,815 ",United States,Austin,
E03956,Everly Walker,Sr. Manger,Sales,Research & Development,Female,62,8/2/1999,"$1,37,995 ",United States,Austin,
E00672,Mila Pena,Sr. Business Partner,Human Resources,Manufacturing,Female,45,12/21/2007,"$93,840 ",Brazil,Manaus,
E04618,Mason Zhao,Technical Architect,IT,Research & Development,Male,46,10/26/2021,"$94,790 ",China,Chongqing,
E03506,Jaxson Mai,Vice President,Human Resources,Research & Development,Male,48,3/8/2014,"$1,97,367 ",United States,Austin,
E00568,Ava Garza,Director,Accounting,Manufacturing,Female,27,6/25/2018,"$1,74,097 ",United States,Phoenix,
E00535,Nathan Mendez,Manager,IT,Speciality Products,Male,53,10/31/2006,"$1,20,128 ",United States,Austin,
E04630,Maria Griffin,Manager,Marketing,Manufacturing,Female,59,4/25/2007,"$1,29,708 ",United States,Miami,
E00874,Alexander Choi,Manager,Marketing,Research & Development,Male,55,9/18/1994,"$1,02,270 ",United States,Chicago,
E01546,Maria Hong,Vice President,Finance,Speciality Products,Female,43,7/31/2005,"$2,49,686 ",China,Chongqing,
E00941,Sophie Ali,Analyst,Finance,Manufacturing,Female,55,3/28/2002,"$50,475 ",United States,Columbus,
E03446,Julian Ross,Manager,Marketing,Research & Development,Male,51,7/2/2020,"$1,00,099 ",United States,Miami,
E01361,Emma Hill,IT Coordinator,IT,Manufacturing,Female,54,12/27/2016,"$41,673 ",United States,Miami,
E01631,Leilani Yee,Sr. Analyst,Marketing,Speciality Products,Female,47,7/12/2017,"$70,996 ",China,Chengdu,
E03719,Jack Brown,Analyst,Marketing,Corporate,Male,55,12/7/2004,"$40,752 ",United States,Phoenix,
E03269,Charlotte Chu,Network Engineer,IT,Manufacturing,Female,50,1/23/2001,"$97,537 ",China,Chengdu,
E01037,Jeremiah Chu,IT Systems Architect,IT,Research & Development,Male,31,9/12/2020,"$96,567 ",China,Shanghai,
E00671,Miles Cho,Systems Analyst,IT,Speciality Products,Male,47,3/10/1999,"$49,404 ",China,Beijing,
E02216,Caleb Marquez,IT Systems Architect,IT,Research & Development,Male,29,10/15/2019,"$66,819 ",Brazil,Rio de Janerio,
E02803,Eli Soto,Analyst,Marketing,Speciality Products,Male,38,5/2/2016,"$50,784 ",Brazil,Rio de Janerio,
E01584,Carter Mejia,Sr. Manger,Human Resources,Research & Development,Male,29,5/9/2019,"$1,25,828 ",Brazil,Sao Paulo,
E02489,Ethan Clark,Sr. Business Partner,Human Resources,Manufacturing,Male,33,8/4/2017,"$92,610 ",United States,Columbus,
E03189,Asher Jackson,Sr. Manger,Sales,Speciality Products,Male,50,3/25/2003,"$1,23,405 ",United States,Columbus,
E03560,Ayla Ng,Account Representative,Sales,Manufacturing,Female,46,3/20/2004,"$73,004 ",China,Beijing,
E00769,Jose Kang,Engineering Manager,Engineering,Corporate,Male,57,4/25/1999,"$95,061 ",China,Shanghai,
E02791,Aubrey Romero,Director,Sales,Corporate,Female,49,4/2/1998,"$1,60,832 ",United States,Phoenix,
E02333,Jaxson Wright,Service Desk Analyst,IT,Manufacturing,Male,54,12/28/2010,"$64,417 ",United States,Columbus,
E01002,Elias Ali,Manager,Sales,Corporate,Male,28,3/19/2021,"$1,27,543 ",China,Shanghai,
E03520,Nolan Pena,Analyst,Marketing,Manufacturing,Male,30,6/21/2018,"$56,154 ",Brazil,Sao Paulo,
E00752,Luna Liu,Vice President,Sales,Manufacturing,Female,36,2/22/2014,"$2,18,530 ",China,Shanghai,
E00233,Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,Female,36,12/19/2019,"$91,954 ",United States,Columbus,
E02639,Hadley Parker,Vice President,Marketing,Corporate,Female,30,9/21/2016,"$2,21,217 ",United States,Columbus,9/25/2017
E00697,Jonathan Chavez,System Administrator ,IT,Manufacturing,Male,29,5/11/2017,"$87,536 ",United States,Seattle,
E02183,Sarah Ayala,Analyst,Sales,Corporate,Female,47,6/9/2015,"$41,429 ",United States,Seattle,
E00715,Elijah Kang,Vice President,Engineering,Manufacturing,Male,35,10/10/2011,"$2,45,482 ",United States,Seattle,
E04288,Ella White,Development Engineer,Engineering,Manufacturing,Female,25,1/20/2020,"$71,359 ",United States,Phoenix,
E02421,Jordan Truong,Director,Engineering,Speciality Products,Male,45,8/28/2014,"$1,83,161 ",United States,Miami,
E00523,Daniel Jordan,Network Administrator,IT,Corporate,Male,58,7/26/1993,"$69,260 ",United States,Phoenix,
E03615,Daniel Dixon,Operations Engineer,Engineering,Speciality Products,Male,51,10/9/1999,"$95,639 ",United States,Austin,
E02761,Luca Duong,Manager,Human Resources,Research & Development,Male,48,6/30/2004,"$1,20,660 ",China,Chengdu,
E02121,Levi Brown,Sr. Analyst,Sales,Corporate,Male,36,12/26/2021,"$75,119 ",United States,Chicago,
E01486,Mason Cho,Vice President,Accounting,Research & Development,Male,59,5/18/2011,"$1,92,213 ",United States,Chicago,
E00725,Nova Herrera,Account Representative,Sales,Speciality Products,Female,45,5/10/2014,"$65,047 ",Brazil,Sao Paulo,
E03027,Elijah Watson,Sr. Manger,Sales,Manufacturing,Male,29,3/16/2017,"$1,51,413 ",United States,Seattle,
E03689,Wesley Gray,Sr. Analyst,Accounting,Speciality Products,Male,62,4/22/2003,"$76,906 ",United States,Seattle,
E01986,Wesley Sharma,Manager,IT,Corporate,Male,51,2/23/1994,"$1,22,802 ",China,Shanghai,
E01286,Mateo Mendez,Development Engineer,Engineering,Research & Development,Male,47,7/14/1998,"$99,091 ",United States,Austin,
E01409,Jose Molina,Controls Engineer,Engineering,Manufacturing,Male,40,2/28/2008,"$1,13,987 ",Brazil,Manaus,
E00626,Luna Simmons,Sr. Analyst,Finance,Corporate,Female,28,9/4/2020,"$95,045 ",United States,Chicago,
E04342,Samantha Barnes,Vice President,Marketing,Speciality Products,Female,29,1/5/2017,"$1,90,401 ",United States,Columbus,
E03904,Hunter Ortiz,Sr. Analyst,Finance,Corporate,Male,46,1/20/2013,"$86,061 ",Brazil,Rio de Janerio,
E01291,Thomas Aguilar,Sr. Account Representative,Sales,Speciality Products,Male,45,2/10/2021,"$79,882 ",United States,Phoenix,
E00917,Skylar Bell,Vice President,Engineering,Manufacturing,Female,30,3/6/2018,"$2,55,431 ",United States,Columbus,
E01484,Anna Zhu,Service Desk Analyst,IT,Manufacturing,Female,48,8/22/2003,"$82,017 ",China,Beijing,
E03864,Ella Hunter,Analyst,Finance,Manufacturing,Female,51,1/18/2017,"$53,799 ",United States,Columbus,
E00488,Emery Hunter,Sr. Analyst,Sales,Corporate,Female,28,7/3/2021,"$82,739 ",United States,Phoenix,
E02227,Sofia Parker,Cloud Infrastructure Architect,IT,Manufacturing,Female,36,5/30/2014,"$99,080 ",United States,Chicago,
E04802,Lucy Fong,Sr. Account Representative,Sales,Corporate,Female,40,1/20/2011,"$96,719 ",China,Chengdu,
E01970,Vivian Barnes,Director,Human Resources,Research & Development,Female,51,3/28/2021,"$1,80,687 ",United States,Phoenix,
E02813,Kai Chow,Engineering Manager,Engineering,Corporate,Male,45,4/12/2001,"$95,743 ",United States,Austin,1/15/2010
E02031,Melody Cooper,Development Engineer,Engineering,Research & Development,Female,44,9/4/2009,"$89,695 ",United States,Austin,
E03252,James Bui,Manager,Finance,Manufacturing,Male,64,7/20/1998,"$1,22,753 ",China,Chongqing,
E04871,Liam Grant,Sr. Business Partner,Human Resources,Research & Development,Male,30,3/15/2015,"$93,734 ",United States,Phoenix,
